Condition,Loss,Iteration
tpi2#B2,0.3798915311212313,1
tpi2#B2,0.19367601650964217,10
tpi2#B2,0.15396172744711922,100
tpi2#B2,0.13498171984649204,1000
tpi2#B2,0.13235968928563505,10000
tpi2#B2,0.13235240026615253,10250
tpi2#B2,0.13220577839311298,10500
tpi2#B2,0.1321931115118874,10750
tpi2#B2,0.13195999440277337,11000
tpi2#B2,0.1319378889130244,11250
tpi2#B2,0.13192268095614462,11500
tpi2#B2,0.13191086752938547,11750
tpi2#B2,0.13190093349562082,12000
tpi2#B2,0.13189211862136105,12250
tpi2#B2,0.13479631650725674,1250
tpi2#B2,0.13174925948380878,12500
tpi2#B2,0.13173439019404062,12750
tpi2#B2,0.1317233491914756,13000
tpi2#B2,0.13171427090377183,13250
tpi2#B2,0.1317063157520576,13500
tpi2#B2,0.13169904746274166,13750
tpi2#B2,0.13143414230910647,14000
tpi2#B2,0.13142265027282712,14250
tpi2#B2,0.13141299666704265,14500
tpi2#B2,0.1314046575849858,14750
tpi2#B2,0.13428332035412935,1500
tpi2#B2,0.13139706011295668,15000
tpi2#B2,0.13138992771117913,15250
tpi2#B2,0.1313831253558004,15500
tpi2#B2,0.1313765555231494,15750
tpi2#B2,0.13137018195636765,16000
tpi2#B2,0.13136392980197836,16250
tpi2#B2,0.13040547048739115,16500
tpi2#B2,0.13035104829951677,16750
tpi2#B2,0.1303262034760875,17000
tpi2#B2,0.1342498443094585,1750
tpi2#B2,0.30565597530751776,2
tpi2#B2,0.18230456816485102,20
tpi2#B2,0.13822006039100818,200
tpi2#B2,0.13422805267879734,2000
tpi2#B2,0.134210518237466,2250
tpi2#B2,0.13794526761619225,250
tpi2#B2,0.1340257564438988,2500
tpi2#B2,0.1335177802851066,2750
tpi2#B2,0.25987371859528724,3
tpi2#B2,0.17364910548663037,30
tpi2#B2,0.13779047542351766,300
tpi2#B2,0.13338325668538037,3000
tpi2#B2,0.13336375235902986,3250
tpi2#B2,0.13334936573126532,3500
tpi2#B2,0.1333372103424223,3750
tpi2#B2,0.23189777583688487,4
tpi2#B2,0.16355676775105968,40
tpi2#B2,0.13584950144333544,400
tpi2#B2,0.13311043033235895,4000
tpi2#B2,0.1330879570109985,4250
tpi2#B2,0.1330742748022395,4500
tpi2#B2,0.1330631616079081,4750
tpi2#B2,0.21710051211474138,5
tpi2#B2,0.15812571587506347,50
tpi2#B2,0.13546498440441468,500
tpi2#B2,0.1328813073164749,5000
tpi2#B2,0.13285661785414257,5250
tpi2#B2,0.1328392279027615,5500
tpi2#B2,0.13282583178324137,5750
tpi2#B2,0.20660163876400375,6
tpi2#B2,0.15674372209602444,60
tpi2#B2,0.13530836116393155,600
tpi2#B2,0.1328146197183255,6000
tpi2#B2,0.13280478218527658,6250
tpi2#B2,0.13279575487368542,6500
tpi2#B2,0.13263707463143423,6750
tpi2#B2,0.20175508001264286,7
tpi2#B2,0.15489720118903108,70
tpi2#B2,0.1352618732227704,700
tpi2#B2,0.1326154905898646,7000
tpi2#B2,0.13260255962148929,7250
tpi2#B2,0.13524984204912688,750
tpi2#B2,0.13259269845419758,7500
tpi2#B2,0.1325841300492935,7750
tpi2#B2,0.1978055715206545,8
tpi2#B2,0.15440616905138466,80
tpi2#B2,0.13523975050836456,800
tpi2#B2,0.13243404754161417,8000
tpi2#B2,0.1324196799377426,8250
tpi2#B2,0.13240861300419263,8500
tpi2#B2,0.13239917828146028,8750
tpi2#B2,0.1939999723528111,9
tpi2#B2,0.1540556971684454,90
tpi2#B2,0.1350420911637168,900
tpi2#B2,0.13239063822685765,9000
tpi2#B2,0.1323825951255448,9250
tpi2#B2,0.13237481691128503,9500
tpi2#B2,0.13236718981036205,9750
