Condition,Loss,Iteration
pgi4#B2,0.39776492924195217,1
pgi4#B2,0.20390123511843905,10
pgi4#B2,0.16538917784732624,100
pgi4#B2,0.1454316888041159,1000
pgi4#B2,0.13426096144492133,10000
pgi4#B2,0.13399046707993217,10250
pgi4#B2,0.1339005822989172,10500
pgi4#B2,0.13384887597614398,10750
pgi4#B2,0.13302611670338635,11000
pgi4#B2,0.1328482047416087,11250
pgi4#B2,0.1328153716702239,11500
pgi4#B2,0.13261806933919473,11750
pgi4#B2,0.13258224430232518,12000
pgi4#B2,0.13255635469695048,12250
pgi4#B2,0.14524928990087746,1250
pgi4#B2,0.13254074112645572,12500
pgi4#B2,0.13253429836833147,12750
pgi4#B2,0.13230135109959618,13000
pgi4#B2,0.132222232918742,13250
pgi4#B2,0.13217167996691018,13500
pgi4#B2,0.12437486512768474,13750
pgi4#B2,0.12432866755131614,14000
pgi4#B2,0.12429752845650516,14250
pgi4#B2,0.12423237966200291,14500
pgi4#B2,0.12417097145981262,14750
pgi4#B2,0.14165938131577915,1500
pgi4#B2,0.12413629370017748,15000
pgi4#B2,0.12410477529923593,15250
pgi4#B2,0.12407937383555116,15500
pgi4#B2,0.12405564620192917,15750
pgi4#B2,0.12403653015460588,16000
pgi4#B2,0.12402327096856974,16250
pgi4#B2,0.12400593461606407,16500
pgi4#B2,0.12399326181777207,16750
pgi4#B2,0.12398187595161816,17000
pgi4#B2,0.12397542692849826,17250
pgi4#B2,0.14158102121025756,1750
pgi4#B2,0.12396432163022779,17500
pgi4#B2,0.3201004950844755,2
pgi4#B2,0.1965629909880801,20
pgi4#B2,0.15633854260865346,200
pgi4#B2,0.1415238322227063,2000
pgi4#B2,0.1402013333703359,2250
pgi4#B2,0.15535234021868294,250
pgi4#B2,0.139643632393565,2500
pgi4#B2,0.13899513079831255,2750
pgi4#B2,0.27013928495037215,3
pgi4#B2,0.18707994852291115,30
pgi4#B2,0.15481359896584457,300
pgi4#B2,0.13898059411051128,3000
pgi4#B2,0.13896271115453174,3250
pgi4#B2,0.13894763020978368,3500
pgi4#B2,0.13780027235779682,3750
pgi4#B2,0.2415614400710159,4
pgi4#B2,0.18210724781678364,40
pgi4#B2,0.15357960691547223,400
pgi4#B2,0.13773062866505084,4000
pgi4#B2,0.13763357748202937,4250
pgi4#B2,0.13756959882603978,4500
pgi4#B2,0.1374923844864013,4750
pgi4#B2,0.22561588220147255,5
pgi4#B2,0.17747144797349004,50
pgi4#B2,0.14952797039093363,500
pgi4#B2,0.13678889735908842,5000
pgi4#B2,0.1365569280966152,5250
pgi4#B2,0.13603159440787005,5500
pgi4#B2,0.13589171165193603,5750
pgi4#B2,0.21752067061147384,6
pgi4#B2,0.17682177680493422,60
pgi4#B2,0.14911740092350792,600
pgi4#B2,0.1358459387289364,6000
pgi4#B2,0.1358118724760703,6250
pgi4#B2,0.13580695562757938,6500
pgi4#B2,0.13579863492986605,6750
pgi4#B2,0.2138004341401486,7
pgi4#B2,0.17194992085951283,70
pgi4#B2,0.14753115084520416,700
pgi4#B2,0.13579412970884758,7000
pgi4#B2,0.1357887270906162,7250
pgi4#B2,0.14718323461882193,750
pgi4#B2,0.13576842098471323,7500
pgi4#B2,0.13536558538539725,7750
pgi4#B2,0.20762209099836618,8
pgi4#B2,0.17075733385777545,80
pgi4#B2,0.14709887141110525,800
pgi4#B2,0.13524663538431114,8000
pgi4#B2,0.1352121779043718,8250
pgi4#B2,0.1351834195539857,8500
pgi4#B2,0.1345190846239487,8750
pgi4#B2,0.20519704008559173,9
pgi4#B2,0.1683156130242844,90
pgi4#B2,0.14551667524367404,900
pgi4#B2,0.13444111748358661,9000
pgi4#B2,0.13437271774470166,9250
pgi4#B2,0.13430530451514233,9500
pgi4#B2,0.13427881171706219,9750
