Condition,Loss,Iteration
pts4#B1,0.4617665993671399,1
pts4#B1,0.22386176692463258,10
pts4#B1,0.18948971371746742,100
pts4#B1,0.17355561966759112,1000
pts4#B1,0.17001571657518305,10000
pts4#B1,0.1695904493755617,10250
pts4#B1,0.1695688548529525,10500
pts4#B1,0.16955203980798467,10750
pts4#B1,0.1695445034938689,11000
pts4#B1,0.16954298957601702,11250
pts4#B1,0.1695414846202965,11500
pts4#B1,0.1695399826784538,11750
pts4#B1,0.1695384829467725,12000
pts4#B1,0.16953698500939793,12250
pts4#B1,0.17352042144316718,1250
pts4#B1,0.16912100623210974,12500
pts4#B1,0.16898371755490443,12750
pts4#B1,0.16897555517072108,13000
pts4#B1,0.16896896109165246,13250
pts4#B1,0.16896301665514274,13500
pts4#B1,0.16895746418249727,13750
pts4#B1,0.1688582275128182,14000
pts4#B1,0.1688519102013571,14250
pts4#B1,0.16884728876877872,14500
pts4#B1,0.16884367045404167,14750
pts4#B1,0.1721900308938096,1500
pts4#B1,0.168840660847535,15000
pts4#B1,0.1688380909260352,15250
pts4#B1,0.16883585859261152,15500
pts4#B1,0.1688338983913971,15750
pts4#B1,0.16883212776015227,16000
pts4#B1,0.16883051732673535,16250
pts4#B1,0.16882903523650386,16500
pts4#B1,0.16882765174738454,16750
pts4#B1,0.16882635684490943,17000
pts4#B1,0.16882513593230294,17250
pts4#B1,0.17191649544632945,1750
pts4#B1,0.16882396705689418,17500
pts4#B1,0.16882285122910062,17750
pts4#B1,0.16882177804181653,18000
pts4#B1,0.1688207381985485,18250
pts4#B1,0.16881972931912578,18500
pts4#B1,0.16881874842836117,18750
pts4#B1,0.3768132662091198,2
pts4#B1,0.21285371367570385,20
pts4#B1,0.18151131915667107,200
pts4#B1,0.17183718591219913,2000
pts4#B1,0.17170474003270755,2250
pts4#B1,0.1808622176064378,250
pts4#B1,0.17169167647450204,2500
pts4#B1,0.17167531984212211,2750
pts4#B1,0.32245620886669457,3
pts4#B1,0.20479033444739364,30
pts4#B1,0.179351361454765,300
pts4#B1,0.17167053157240345,3000
pts4#B1,0.17133719124161792,3250
pts4#B1,0.17129165621243472,3500
pts4#B1,0.17128156471850167,3750
pts4#B1,0.28581650541971265,4
pts4#B1,0.20107476432803892,40
pts4#B1,0.17904451112294573,400
pts4#B1,0.17127389574534022,4000
pts4#B1,0.1712667303332516,4250
pts4#B1,0.17126070086291073,4500
pts4#B1,0.1712544459328368,4750
pts4#B1,0.26153164987281535,5
pts4#B1,0.19882351359904943,50
pts4#B1,0.17503556734182352,500
pts4#B1,0.17124803738072558,5000
pts4#B1,0.171140701488579,5250
pts4#B1,0.17089691018843775,5500
pts4#B1,0.17086254375215226,5750
pts4#B1,0.24443260690613322,6
pts4#B1,0.1941116607977351,60
pts4#B1,0.17479064026687716,600
pts4#B1,0.1708396461805554,6000
pts4#B1,0.17082290741015724,6250
pts4#B1,0.17080813995867286,6500
pts4#B1,0.17079809147184624,6750
pts4#B1,0.23228871979375362,7
pts4#B1,0.1935486945782673,70
pts4#B1,0.17401486601786387,700
pts4#B1,0.1707160116084647,7000
pts4#B1,0.17070999071215595,7250
pts4#B1,0.1740011905257174,750
pts4#B1,0.17070460452891448,7500
pts4#B1,0.17069913973576484,7750
pts4#B1,0.22448397730875194,8
pts4#B1,0.19333643501986486,80
pts4#B1,0.1739649373310028,800
pts4#B1,0.17043812603150948,8000
pts4#B1,0.17043111792303842,8250
pts4#B1,0.17042556418130472,8500
pts4#B1,0.17032358968709863,8750
pts4#B1,0.2243723337232896,9
pts4#B1,0.19322094005089716,90
pts4#B1,0.17357894356439266,900
pts4#B1,0.17016540345469172,9000
pts4#B1,0.17015262090642827,9250
pts4#B1,0.17014130523118512,9500
pts4#B1,0.1701312296849233,9750
