Condition,Loss,Iteration
pgi1#B2,0.447576396955608,1
pgi1#B2,0.218904539213546,10
pgi1#B2,0.17991058361354823,100
pgi1#B2,0.16940479257919852,1000
pgi1#B2,0.16536884133435997,10000
pgi1#B2,0.1653591356251844,10250
pgi1#B2,0.16534692308861362,10500
pgi1#B2,0.16533743933053774,10750
pgi1#B2,0.16532806873804073,11000
pgi1#B2,0.16531745274151038,11250
pgi1#B2,0.16530648855621213,11500
pgi1#B2,0.165296484271379,11750
pgi1#B2,0.1652859510236735,12000
pgi1#B2,0.16527529834903068,12250
pgi1#B2,0.1692737889763147,1250
pgi1#B2,0.16526547830700702,12500
pgi1#B2,0.1652556601476098,12750
pgi1#B2,0.1652463692292891,13000
pgi1#B2,0.16523652196393654,13250
pgi1#B2,0.16522664941804893,13500
pgi1#B2,0.16521689550972946,13750
pgi1#B2,0.1652065056652484,14000
pgi1#B2,0.16519658287604438,14250
pgi1#B2,0.16298494756700913,14500
pgi1#B2,0.1628928545277614,14750
pgi1#B2,0.16918319794804335,1500
pgi1#B2,0.16288412477782113,15000
pgi1#B2,0.16287751813659979,15250
pgi1#B2,0.16285157221282176,15500
pgi1#B2,0.1628376944408921,15750
pgi1#B2,0.1628298462925739,16000
pgi1#B2,0.16282090006703287,16250
pgi1#B2,0.1628130750104467,16500
pgi1#B2,0.16280570831256036,16750
pgi1#B2,0.16279566546203258,17000
pgi1#B2,0.16278634015323473,17250
pgi1#B2,0.169099834860593,1750
pgi1#B2,0.1627844328201484,17500
pgi1#B2,0.16278192743569322,17750
pgi1#B2,0.16277414866875262,18000
pgi1#B2,0.1627628449105055,18250
pgi1#B2,0.16274899565531545,18500
pgi1#B2,0.16274256731805692,18750
pgi1#B2,0.1627257484066544,19000
pgi1#B2,0.16271163715389284,19250
pgi1#B2,0.16270190518715463,19500
pgi1#B2,0.16269051460176723,19750
pgi1#B2,0.37606611147999214,2
pgi1#B2,0.2064774741028122,20
pgi1#B2,0.17725337332279903,200
pgi1#B2,0.16902220704804213,2000
pgi1#B2,0.16894272595989623,2250
pgi1#B2,0.17505765894778638,250
pgi1#B2,0.16884496900721166,2500
pgi1#B2,0.16875761441215675,2750
pgi1#B2,0.31933104171364884,3
pgi1#B2,0.19918574829830052,30
pgi1#B2,0.17500148185866793,300
pgi1#B2,0.1674060292995575,3000
pgi1#B2,0.16724474736839132,3250
pgi1#B2,0.16584902551717862,3500
pgi1#B2,0.16567651212076578,3750
pgi1#B2,0.28230746756582525,4
pgi1#B2,0.19563785671164116,40
pgi1#B2,0.1725467127728608,400
pgi1#B2,0.16565867576145968,4000
pgi1#B2,0.1656432883349733,4250
pgi1#B2,0.16562756858413852,4500
pgi1#B2,0.1656123369354405,4750
pgi1#B2,0.25211077945935123,5
pgi1#B2,0.18843337021450893,50
pgi1#B2,0.1720642827103013,500
pgi1#B2,0.1656008774972586,5000
pgi1#B2,0.16558621532862644,5250
pgi1#B2,0.1655740087344471,5500
pgi1#B2,0.16556217648162783,5750
pgi1#B2,0.23997993291722405,6
pgi1#B2,0.1858093254788964,60
pgi1#B2,0.1715620260441126,600
pgi1#B2,0.1655510543720149,6000
pgi1#B2,0.16553484607771557,6250
pgi1#B2,0.16552448051401453,6500
pgi1#B2,0.1655090790194125,6750
pgi1#B2,0.2278277810045756,7
pgi1#B2,0.18501707613305987,70
pgi1#B2,0.17147496611372928,700
pgi1#B2,0.16549766009532335,7000
pgi1#B2,0.16548552562032637,7250
pgi1#B2,0.17143084976519732,750
pgi1#B2,0.16547459677261406,7500
pgi1#B2,0.16546319907596888,7750
pgi1#B2,0.22556593118510398,8
pgi1#B2,0.1835453572719791,80
pgi1#B2,0.1713923620237465,800
pgi1#B2,0.1654518021178175,8000
pgi1#B2,0.16544205483701885,8250
pgi1#B2,0.16543088986496216,8500
pgi1#B2,0.16542027908928525,8750
pgi1#B2,0.219153017659942,9
pgi1#B2,0.18157390775019316,90
pgi1#B2,0.17131420825190935,900
pgi1#B2,0.1654097533176442,9000
pgi1#B2,0.16539948857572412,9250
pgi1#B2,0.1653892116991866,9500
pgi1#B2,0.16537979587911772,9750
