Condition,Loss,Iteration
pts3#B1,0.4643165794461338,1
pts3#B1,0.23696586727354235,10
pts3#B1,0.2053335308453464,100
pts3#B1,0.17925440558469602,1000
pts3#B1,0.1628677696263505,10000
pts3#B1,0.16286339273319417,10250
pts3#B1,0.1628581192128199,10500
pts3#B1,0.1778018355983855,1250
pts3#B1,0.1774076020999826,1500
pts3#B1,0.17701709161980708,1750
pts3#B1,0.3953084891869911,2
pts3#B1,0.22829742952853788,20
pts3#B1,0.19516544595297183,200
pts3#B1,0.1749714717894885,2000
pts3#B1,0.1748590277024104,2250
pts3#B1,0.19428500741167654,250
pts3#B1,0.1736682757902272,2500
pts3#B1,0.1731892258892372,2750
pts3#B1,0.3432311025284929,3
pts3#B1,0.2173572489773726,30
pts3#B1,0.1907765686563001,300
pts3#B1,0.17303736906046605,3000
pts3#B1,0.17290950174467826,3250
pts3#B1,0.16440946397701606,3500
pts3#B1,0.16416137317643534,3750
pts3#B1,0.3045083254417163,4
pts3#B1,0.21294665317125888,40
pts3#B1,0.18893492682196494,400
pts3#B1,0.16413234846821867,4000
pts3#B1,0.16350673181696224,4250
pts3#B1,0.16348188791008253,4500
pts3#B1,0.16346395937475153,4750
pts3#B1,0.27927892499663803,5
pts3#B1,0.21115909524354456,50
pts3#B1,0.1886463645741196,500
pts3#B1,0.16345021787495764,5000
pts3#B1,0.16343763967421984,5250
pts3#B1,0.1634258126669926,5500
pts3#B1,0.16341359158491972,5750
pts3#B1,0.26412670759691625,6
pts3#B1,0.2102881013383879,60
pts3#B1,0.188387227247709,600
pts3#B1,0.16340239767729214,6000
pts3#B1,0.1633921365592517,6250
pts3#B1,0.16338152831692718,6500
pts3#B1,0.1630678836302661,6750
pts3#B1,0.25018528313590654,7
pts3#B1,0.20989149139286487,70
pts3#B1,0.18804122243619628,700
pts3#B1,0.16297696633002182,7000
pts3#B1,0.1629629794449707,7250
pts3#B1,0.1876599781953878,750
pts3#B1,0.16294542823660466,7500
pts3#B1,0.16293101735711643,7750
pts3#B1,0.24452980150447076,8
pts3#B1,0.20591184697228215,80
pts3#B1,0.17977921394055482,800
pts3#B1,0.1629203570871838,8000
pts3#B1,0.16291113282928152,8250
pts3#B1,0.16290294230649893,8500
pts3#B1,0.16289502039681905,8750
pts3#B1,0.24172231482679274,9
pts3#B1,0.20559179723400217,90
pts3#B1,0.1793065592431335,900
pts3#B1,0.16288842155886768,9000
pts3#B1,0.16288158423300889,9250
pts3#B1,0.16287683359739438,9500
pts3#B1,0.16287221399022736,9750
