Condition,Loss,Iteration
pgi5#B2,0.35212406910164873,1
pgi5#B2,0.19298325305541741,10
pgi5#B2,0.15842321583521068,100
pgi5#B2,0.15193109751111372,1000
pgi5#B2,0.1411233949260255,10000
pgi5#B2,0.14111755062804018,10250
pgi5#B2,0.14111294460393664,10500
pgi5#B2,0.14110860382164317,10750
pgi5#B2,0.14110465249899132,11000
pgi5#B2,0.14101226642711998,11250
pgi5#B2,0.14099690055905537,11500
pgi5#B2,0.14098746079720753,11750
pgi5#B2,0.14098060788614739,12000
pgi5#B2,0.1409749420103753,12250
pgi5#B2,0.1514841868621778,1250
pgi5#B2,0.14097021560601897,12500
pgi5#B2,0.14096609908063668,12750
pgi5#B2,0.14096258028060749,13000
pgi5#B2,0.14087372488704736,13250
pgi5#B2,0.14085230077255823,13500
pgi5#B2,0.140837410389253,13750
pgi5#B2,0.14083286009337423,14000
pgi5#B2,0.1408289541629741,14250
pgi5#B2,0.14082276006837294,14500
pgi5#B2,0.14081994281092325,14750
pgi5#B2,0.15112213054148457,1500
pgi5#B2,0.14081732998208743,15000
pgi5#B2,0.14071716236111012,15250
pgi5#B2,0.14068864530204342,15500
pgi5#B2,0.14068644290869947,15750
pgi5#B2,0.1405080794900666,16000
pgi5#B2,0.14049690427422476,16250
pgi5#B2,0.14048628191027468,16500
pgi5#B2,0.1404805686984804,16750
pgi5#B2,0.14047617485458452,17000
pgi5#B2,0.14047282640389833,17250
pgi5#B2,0.15015545142109568,1750
pgi5#B2,0.14046888179595685,17500
pgi5#B2,0.14039370242420932,17750
pgi5#B2,0.14035291409316544,18000
pgi5#B2,0.290501650440696,2
pgi5#B2,0.18453676111391404,20
pgi5#B2,0.15573492872393213,200
pgi5#B2,0.1467943281934624,2000
pgi5#B2,0.1466365239947691,2250
pgi5#B2,0.1545661601259693,250
pgi5#B2,0.1452345927239237,2500
pgi5#B2,0.14507235671784816,2750
pgi5#B2,0.24895167506835486,3
pgi5#B2,0.17511490503506918,30
pgi5#B2,0.15439769034949136,300
pgi5#B2,0.14280761159915156,3000
pgi5#B2,0.14277358438536647,3250
pgi5#B2,0.14261167571585132,3500
pgi5#B2,0.14221096234120528,3750
pgi5#B2,0.21745691962456698,4
pgi5#B2,0.1721107067541583,40
pgi5#B2,0.15301226662514797,400
pgi5#B2,0.14215178700711573,4000
pgi5#B2,0.1421429333892688,4250
pgi5#B2,0.14213365041208434,4500
pgi5#B2,0.14212436084313587,4750
pgi5#B2,0.20153432001273622,5
pgi5#B2,0.1656774188090824,50
pgi5#B2,0.15282132726478725,500
pgi5#B2,0.14211582415363683,5000
pgi5#B2,0.14210732480035185,5250
pgi5#B2,0.14209913764220106,5500
pgi5#B2,0.14209097920058986,5750
pgi5#B2,0.19499069260797108,6
pgi5#B2,0.16285759355397758,60
pgi5#B2,0.15268673337821193,600
pgi5#B2,0.14200819975345352,6000
pgi5#B2,0.14200242107180236,6250
pgi5#B2,0.1419955347581852,6500
pgi5#B2,0.14199010554730052,6750
pgi5#B2,0.1941097437312342,7
pgi5#B2,0.16191254745553418,70
pgi5#B2,0.15257748803697668,700
pgi5#B2,0.141983883619652,7000
pgi5#B2,0.14197846159147798,7250
pgi5#B2,0.15229124113746786,750
pgi5#B2,0.1414021925878498,7500
pgi5#B2,0.14139613847859836,7750
pgi5#B2,0.19366336075997653,8
pgi5#B2,0.16161605043337351,80
pgi5#B2,0.1521055742561651,800
pgi5#B2,0.14139170481241525,8000
pgi5#B2,0.14138745385357898,8250
pgi5#B2,0.14138336171497856,8500
pgi5#B2,0.141379468271379,8750
pgi5#B2,0.19346267631279299,9
pgi5#B2,0.15905748433097944,90
pgi5#B2,0.15204768481319006,900
pgi5#B2,0.14137568671137726,9000
pgi5#B2,0.14137182457951658,9250
pgi5#B2,0.1411459131306353,9500
pgi5#B2,0.14113268516961458,9750
