Condition,Rloss,Ploss
WT,0.3900056348626195,0.26325718493754047
WT,0.3971473874428175,0.2655186703226027
WT,0.4246123295360945,0.3238041719321323
WT,0.4180973449133655,0.31110057728618656
pgi,0.4058112213242365,0.28408805720188746
pgi,0.38571299470154063,0.27214001555100975
pgi,0.40292815490066614,0.2821546364871633
pgi,0.3971664042515154,0.28186543206353154
pgi,0.43874434532772155,0.35972539512501345
pgi,0.44356534996221375,0.3500797973377222
pgi,0.39543997775029516,0.28332949910647265
pgi,0.3949678076633143,0.28175129696878676
pgi,0.379734030329519,0.272597596519186
pgi,0.3895298451470298,0.27891595635330557
pgi,0.3858130792000105,0.26214685475435084
pgi,0.3778286134101797,0.26170937067877365
pgi,0.3861712556523542,0.29388958448517133
pgi,0.3913082325123345,0.2678923153635955
pgi,0.3735554542663396,0.2705149595753311
pts,0.40536539553726125,0.3147542343731091
pts,0.4077084954979858,0.3183160560946605
pts,0.4114487872610726,0.27731621793225947
pts,0.4167589344162641,0.30198349007302294
pts,0.41513941365624774,0.3016833799586476
pts,0.40739076984427147,0.2745200697767256
sdh,0.40283975474458833,0.2569357950935095
sdh,0.41096007458015316,0.2685432335549933
sdh,0.42840894810309504,0.26957178214484667
sdh,0.41692547418469406,0.2686678256034215
sdh,0.37977864978183207,0.2737307188991701
sdh,0.39488922985865416,0.27863992473962407
tpi,0.38749844064565786,0.2835061880606292
tpi,0.3781950004614515,0.2679242129617201
tpi,0.37633069268990493,0.2676192585324153
tpi,0.36260214671336355,0.27445033751545034
tpi,0.3880590413415691,0.27264447759947774
tpi,0.3985511183572116,0.28595640144904155
tpi,0.3944879824701295,0.2780402035739843
