KcatID,Kmax
k#Zn2tex,65.02550460767479
k#METSOXR1,139.06341857430246
k#FACOAL180t2pp,9.005482971867645
k#NTD11,103.96972046844856
k#UAGCVT,3.3000000000634078
k#ALAGLUE,33.921434008767456
k#NTD8,29.851960037796474
k#ACGK,18.968182350261333
k#DHAD2,138.99999999999997
k#SERAT,84.36152069647865
k#AMPN,82.59212365520297
k#DAGK181,14.330806221750418
k#AGM4PApp,10.771578993322382
k#SGSAD,18.578760744542347
k#GMHEPAT,7.491632203058589
k#FE2abcpp,65.00000000012463
k#Kt2pp,65.00885707655783
k#CO2tex,354.7336529339122
k#KARA2,6.318576697947211
k#FEOXAMabcpp,65.0951805457614
k#3HAD121,20.030829112976907
k#QMO2,10.790313837468968
k#PAPSR,100.85440102776225
k#ACKr,154.9334268470688
k#UPP3MT,0.11226452782483627
k#3HAD161,20.030829112977315
k#NADS1,0.4123140911058566
k#NI2tpp,65.24965180604612
k#TYRL,0.0143369406308285
k#ASNS2,19.00000000000883
k#KDOPP,80.8078131963761
k#PPCK,60.74375174203311
k#ETHAAL,71.13396788222623
k#UPPRT,8.99468052267482
k#PGL,588.7476298751442
k#FE2tex,74.37644744656708
k#CD2abcpp,65.00000000000138
k#HSDy,56.62368742410487
k#ACLS,103.21728524230905
k#G5SD,21.339398181635865
k#GLCDpp,246.64119446266406
k#GLCS1,21.120249628026723
k#SPMDt3pp,65.00083784929659
k#LALGP,17.625361831077793
k#SERD_D,116.889229924384
k#DXYLONtex,65.00168268228605
k#AP4AS,32.67183314361357
k#FEOXAMR2,7.123018220148731
k#3OAR120,50.85309601381905
k#GAPD,34.499590033042644
k#PROt2rpp,79.48769708405491
k#UAAGDS,8.000000000035172
k#GLYK,53.90701628960251
k#PLIPA2G180pp,10.560102032045462
k#ORPT,25.72489540942861
k#TDPDRR,2.2656516753947047
k#ASPtpp,108.14823227911272
k#GLBRAN2,136.49086455686194
k#SOTA,27.059764268937027
k#PGP181abcpp,66.85442964176485
k#GLCP,28.752617996605014
k#NTD2,84.49885173029891
k#DURIPP,12.599190710375842
k#3HAD181,18.92251766752525
k#LPLIPAL1E120pp,16.52009667915785
k#ARGSL,11.000000000015042
k#FDH4pp,259.11829950219914
k#NNAM,4.894974188873305
k#G3PAT161,37.81780170419822
k#FE2t3pp,151.12869888708065
k#RNTR3c2,11.797293306303734
k#GND,81.53138971006827
k#ACPPAT181,11.568472122466597
k#MLDCP2Bpp,9.97927028717107
k#AGPAT180,42.74996808750874
k#3PEPTabcpp,13.26700486773061
k#KAS14,20.642232399540575
k#IPPMIb,96.76659990300261
k#3OAR140,48.99011478526482
k#NDPK2,48.95031290740218
k#SDPTA,17.593970594683277
k#ILETA,34.08890689733929
k#AMPTASECG,12.190293026694079
k#PPA,468.522497881017
k#DHQS,77.97468876567555
k#AGPAT120,44.209517141058356
k#ACCOAC,99.27348768838554
k#ZN2tpp,65.00149491794477
k#HISTD,3.345384395579785
k#SPMS,2.0920437450667175
k#PIt2rpp,65.13199632744468
k#ADSS,3.3000000000003222
k#FACOAL120t2pp,8.326399888816518
k#ALR4x,9.353619592719195
k#THRD_L,77.92444266492056
k#FLVRx,6.272750246254725
k#LGTHL,131.52206541993152
k#TRE6PP,13.240051741324688
k#PRAGSr,20.000000000000714
k#GLCabcpp,88.43370619258809
k#CGLYabcpp,65.00010287023296
