Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#succ_c,0.025919048353343205,1.0,0.0,0.04121142748411144,0.00824228547769661
c#fum_c,-0.00041323261560867404,0.0,1.0,0.04121142748411144,0.00824228547769661
c#q8_c,0.02591904835308927,1.0,0.0,0.04121142748411144,0.00824228547769661
c#q8h2_c,-0.00041323261304658645,0.0,1.0,0.04121142748411144,0.00824228547769661
c#mql8_c,2.3838097776686146e-11,0.0,0.0,0.04121142748411144,0.00824228547769661
c#mqn8_c,-2.319724554381624e-11,0.0,0.0,0.04121142748411144,0.00824228547769661
c#adp_c,1.6497634221285137e-11,0.0,0.0,0.04121142748411144,0.00824228547769661
c#pi_c,1.6437912228887965e-11,0.0,0.0,0.04121142748411144,0.00824228547769661
c#atp_c,-1.6232567193051755e-11,0.0,0.0,0.04121142748411144,0.00824228547769661
c#co2_c,-1.5847727993959978e-11,0.0,0.0,0.04121142748411144,0.00824228547769661
c#6pgc_c,1.5771869393977858e-11,0.0,0.0,0.04121142748411144,0.00824228547769661
c#ru5p__D_c,-1.5389749128318734e-11,0.0,0.0,0.04121142748411144,0.00824228547769661
c#o2_c,1.3776743167657836e-11,0.0,0.0,0.04121142748411144,0.00824228547769661
c#nadp_c,8.85997355306523e-12,0.0,0.0,0.04121142748411144,0.00824228547769661
c#nadph_c,-8.620055599026567e-12,0.0,0.0,0.04121142748411144,0.00824228547769661
c#nh4_c,5.85689783262094e-12,0.0,0.0,0.04121142748411144,0.00824228547769661
c#glu__L_c,-5.831958622802801e-12,0.0,0.0,0.04121142748411144,0.00824228547769661
c#akg_c,5.791306050432132e-12,0.0,0.0,0.04121142748411144,0.00824228547769661
c#r5p_c,-2.76245097657149e-13,0.0,0.0,0.04121142748411144,0.00824228547769661
c#6pgl_c,-2.331989497073237e-13,0.0,0.0,0.04121142748411144,0.00824228547769661
c#aspsa_c,2.1545381844348007e-13,0.0,0.0,0.04121142748411144,0.00824228547769661
c#g6p_c,1.687649978290951e-13,0.0,0.0,0.04121142748411144,0.00824228547769661
c#f6p_c,1.571060423660801e-13,0.0,0.0,0.04121142748411144,0.00824228547769661
c#pyr_c,1.1282542048000686e-13,0.0,0.0,0.04121142748411144,0.00824228547769661
c#hom__L_c,-1.0888546578740268e-13,0.0,0.0,0.04121142748411144,0.00824228547769661
c#2ahbut_c,1.0052682764450183e-13,0.0,0.0,0.04121142748411144,0.00824228547769661
c#23dhmp_c,-9.617574095327288e-14,0.0,0.0,0.04121142748411144,0.00824228547769661
c#coa_c,7.774645640840608e-14,0.0,0.0,0.04121142748411144,0.00824228547769661
c#for_c,-7.761647468489535e-14,0.0,0.0,0.04121142748411144,0.00824228547769661
