Gene	Glucose_fg_cell	Chemostat_mu_0_5
grcA	2.13E-02	2.24E-02
nudE	1.97E-02	1.41E-02
ribA	1.12E-02	7.69E-03
ddpA	1.51E-03	3.11E-03
tdh	1.12E-02	1.32E-02
cra	9.34E-03	1.82E-02
spy	1.28E-02	1.14E-02
actP	3.97E-03	6.18E-02
ygiM	1.04E-02	3.76E-03
rlmL	1.33E-02	1.69E-02
pdxA	1.07E-02	6.68E-03
arcB	7.23E-03	9.04E-03
add	1.53E-02	1.55E-02
glnE	4.46E-03	1.01E-02
gldA	3.44E-03	3.01E-03
fruK	3.16E-03	6.40E-03
coaA	1.66E-02	9.62E-03
gpmB	1.46E-02	1.33E-02
tsaD	1.19E-02	6.91E-03
ybdH	4.72E-02	3.73E-02
rbsK	3.51E-03	1.05E-02
dusA	1.21E-02	7.17E-03
speC	1.13E-02	5.94E-03
malQ	8.41E-03	1.32E-02
ruvB	1.45E-02	9.59E-03
epd	6.92E-03	5.20E-03
treC	4.08E-04	5.43E-04
sdaB	3.03E-03	1.46E-03
nirB	4.69E-04	4.81E-04
elaB	1.36E-01	1.52E-01
rplV	1.01E+00	7.26E-01
groS	2.55E-01	2.43E-01
fldA	2.83E-01	1.86E-01
ridA	2.09E-01	2.54E-01
secB	4.79E-01	3.89E-01
skp	2.41E-01	2.00E-01
rpmE	1.06E-01	1.66E-01
ybgI	1.93E-01	2.02E-01
ihfB	9.46E-02	6.74E-02
pdxJ	2.82E-02	3.02E-02
rplO	1.73E-01	2.41E-01
mtnN	8.80E-02	9.25E-02
fabZ	1.39E-01	1.41E-01
rodZ	9.26E-02	8.48E-02
nfuA	1.31E-01	9.89E-02
ivy	4.77E-02	3.83E-02
mipA	1.54E-01	9.82E-02
ssb	1.14E-01	8.85E-02
yhhA	2.96E-03	2.75E-03
fabA	6.50E-02	8.05E-02
gpt	9.52E-02	8.90E-02
yiaF	7.30E-02	4.77E-02
ydjN	1.80E-01	2.32E-01
cpxR	4.07E-02	3.10E-02
lptA	3.61E-02	2.56E-02
metN	6.83E-02	8.29E-02
glgA	2.90E-02	4.99E-02
secY	5.24E-02	6.87E-02
rbfA	3.85E-02	2.69E-02
cmk	3.90E-02	2.31E-02
yebC	3.47E-02	2.51E-02
ldhA	3.43E-02	3.88E-02
ddlB	2.78E-02	2.07E-02
yqjH	2.08E-02	2.26E-02
fruA	1.65E-02	2.28E-02
gatB	1.09E-01	7.09E-01
otsA	1.77E-02	2.19E-02
slyA	2.13E-02	2.42E-02
loiP	2.02E-02	2.59E-02
ygiN	1.17E-02	8.70E-03
dnaN	3.88E-02	3.15E-02
entE	9.05E-03	4.44E-03
yfcD	4.79E-02	6.09E-02
hisF	4.85E-02	2.15E-02
yibN	3.55E-02	3.74E-02
solA	5.52E-02	2.76E-02
mprA	3.70E-02	2.33E-02
orn	1.76E-02	1.09E-02
corA	1.68E-02	3.05E-02
lysA	5.56E-02	5.64E-02
nfo	1.07E-02	9.84E-03
yeeZ	1.61E-02	1.20E-02
yjdC	1.89E-02	1.55E-02
iscR	2.21E-01	2.06E-01
yqfB	1.38E-02	1.79E-02
ribB	1.44E-02	1.03E-02
minE	3.49E-02	4.39E-02
dkgB	4.42E-03	4.21E-03
mnmA	3.40E-02	2.27E-02
rclA	1.45E-03	1.85E-03
gatA	1.59E-01	4.93E-01
speE	5.57E-02	2.98E-02
iadA	1.52E-02	7.56E-03
ftsE	1.01E-02	9.44E-03
potA	1.78E-02	1.73E-02
rlmJ	1.60E-02	7.72E-03
aroH	1.93E-02	1.10E-02
yhfA	1.05E-02	1.23E-02
cmoA	2.56E-02	1.60E-02
mdoH	1.36E-02	2.01E-02
lolB	1.00E-02	8.88E-03
yiiD	8.25E-03	1.10E-02
rluD	2.41E-02	1.69E-02
baeR	1.27E-02	6.23E-03
appA	7.09E-04	1.07E-03
rimM	2.65E-02	1.60E-02
truD	1.51E-02	9.25E-03
rlmB	2.07E-02	1.16E-02
glnG	1.12E-02	4.94E-03
parC	1.74E-02	1.83E-02
mgtA	1.08E-02	7.12E-03
purK	1.49E-02	8.94E-03
yciK	1.48E-02	8.99E-03
yjiA	9.74E-03	1.14E-02
ydcF	1.18E-02	8.92E-03
mepS	6.22E-02	5.47E-02
galT	9.91E-03	7.19E-03
mdaB	1.62E-02	2.04E-02
glpT	4.46E-03	5.90E-03
yecA	3.33E-02	2.76E-02
rob	5.61E-03	6.95E-03
fucO	2.79E-03	6.10E-03
livF	9.58E-03	9.02E-03
puuA	1.08E-02	2.70E-02
yigB	1.11E-02	6.89E-03
fadR	8.31E-03	1.04E-02
aroB	1.97E-02	1.36E-02
wecB	8.16E-03	3.60E-03
azoR	2.88E-02	2.63E-02
rihA	8.05E-03	1.84E-02
rstA	1.08E-02	5.25E-03
rihC	2.29E-03	1.58E-02
yfiQ	2.80E-03	7.97E-03
exbD	9.48E-03	5.41E-03
modE	6.33E-03	3.78E-03
dnaA	5.78E-03	8.54E-03
dapE	5.04E-03	5.51E-03
gutQ	3.09E-03	3.93E-03
cusR	3.91E-02	2.28E-02
rlmM	8.47E-03	5.03E-03
mdoD	9.70E-03	5.02E-03
ptrA	8.70E-03	4.43E-03
miaA	4.67E-03	1.91E-03
spoT	1.82E-03	5.05E-03
ftsK	8.02E-03	7.62E-03
dhaL	3.55E-03	3.03E-03
speG	3.28E-03	3.77E-03
puuC	1.02E-02	3.46E-02
yedE	1.72E-03	2.52E-02
truB	4.46E-03	4.43E-03
mukF	4.51E-03	4.52E-03
nanA	4.41E-03	7.11E-03
mrr	1.90E-03	3.14E-03
hyaB	1.25E-04	1.36E-04
trxA	4.10E-01	2.92E-01
slp	1.92E-02	2.43E-02
ygiW	3.88E-02	4.00E-02
ptsH	3.75E-01	3.11E-01
ybjP	4.23E-02	6.20E-02
rpsS	3.28E-01	2.01E-01
rpsU	4.00E-01	2.44E-01
clpB	1.89E-02	2.02E-02
eda	1.34E-01	1.07E-01
fklB	1.61E-01	1.00E-01
yggE	4.19E-02	4.22E-02
yajG	1.59E-01	1.35E-01
accB	7.12E-02	5.23E-02
yciO	2.72E-02	3.02E-02
sodB	1.49E-01	1.62E-01
sodC	1.01E-02	6.23E-03
zapB	1.73E-01	1.34E-01
seqA	4.57E-02	3.06E-02
proP	2.44E-02	1.18E-02
lsrB	5.19E-03	4.00E-03
cusF	5.99E-01	2.55E-01
yciF	8.32E-03	1.23E-02
yraP	2.50E-02	2.28E-02
yegP	7.70E-03	7.06E-03
yfcE	3.02E-02	2.32E-02
ptsN	2.56E-02	2.70E-02
engB	4.76E-02	2.95E-02
menB	2.93E-02	2.72E-02
tatA	3.97E-02	2.54E-02
kdgK	3.08E-02	2.59E-02
glnQ	3.09E-02	4.65E-02
gmk	1.71E-02	1.05E-02
amyA	1.02E-02	1.05E-02
gpsA	1.97E-02	1.97E-02
metJ	1.99E-02	1.29E-02
pitA	1.85E-02	1.63E-02
ypfJ	6.59E-03	6.54E-03
rlmI	1.27E-02	1.24E-02
pdxH	1.28E-02	1.24E-02
yigL	4.21E-02	3.18E-02
secF	2.73E-02	4.65E-02
bioA	1.09E-02	8.77E-03
ansA	3.41E-02	2.27E-02
exbB	3.57E-02	3.55E-02
ydeI	2.57E-03	1.81E-03
lolD	2.11E-02	1.42E-02
moaC	9.15E-03	5.13E-03
yajL	1.27E-02	1.25E-02
cysE	1.94E-02	2.32E-02
yibF	2.38E-02	1.53E-02
yiaD	1.27E-02	1.80E-03
yfcH	5.16E-03	6.02E-03
rimP	1.68E-02	1.11E-02
pth	2.56E-02	1.38E-02
obgE	3.00E-02	2.40E-02
cydC	8.02E-03	1.42E-02
yjgA	5.89E-03	4.57E-03
eco	6.47E-03	6.60E-03
bepA	1.58E-02	9.27E-03
rcnR	8.29E-03	4.35E-03
nnr	4.36E-03	7.70E-03
rfbD	4.13E-02	2.91E-02
kgtP	9.71E-03	2.57E-02
rcsD	5.42E-03	9.30E-03
yihD	4.27E-02	2.87E-02
ribD	1.30E-02	8.96E-03
yqiC	2.84E-02	1.88E-02
mppA	6.70E-03	9.44E-03
crl	5.09E-02	3.67E-02
yhjJ	1.07E-02	4.82E-03
msbA	1.62E-02	1.62E-02
yhhW	3.54E-03	2.89E-03
mug	7.47E-03	5.89E-03
astC	3.21E-03	6.74E-03
ydhQ	6.04E-03	5.47E-03
ybdK	3.68E-03	3.83E-03
yjiY	1.79E-03	1.05E-03
rdgB	2.36E-02	1.35E-02
iaaA	3.71E-03	3.69E-03
cysC	3.09E-02	1.65E-02
ribF	9.22E-03	1.04E-02
glpX	1.11E-02	5.31E-03
yadG	1.56E-02	1.58E-02
alaC	7.14E-03	7.70E-03
folP	1.13E-02	9.24E-03
ydhS	4.26E-03	7.93E-03
lepB	8.76E-03	8.07E-03
nuoI	1.00E-02	1.21E-02
yebE	1.89E-02	4.83E-03
tar	1.51E-04	2.95E-03
ptsP	5.87E-03	9.97E-03
dadX	1.79E-03	3.86E-03
yfcF	7.71E-03	3.69E-03
ybfF	9.61E-03	8.14E-03
cydD	6.49E-03	8.98E-03
yggS	8.89E-03	6.06E-03
ycaO	4.76E-02	1.74E-02
sspB	1.07E-02	6.08E-03
yhjG	1.98E-03	4.58E-03
malM	1.27E-02	5.67E-02
ppx	2.97E-03	6.86E-03
yqgE	1.41E-02	6.55E-03
nrdR	6.03E-03	5.10E-03
pflA	8.84E-03	6.74E-03
ycfH	2.13E-03	1.77E-03
sppA	5.87E-03	8.85E-03
trmD	5.73E-03	3.28E-03
mntR	4.34E-03	3.39E-03
tonB	4.66E-03	4.15E-03
queF	3.18E-03	3.02E-03
envC	4.38E-03	4.28E-03
mutS	6.15E-03	6.64E-03
yagH	2.49E-03	2.77E-03
mscM	2.94E-03	2.85E-03
tmk	8.03E-03	4.61E-03
ycgL	2.37E-03	1.52E-03
rng	7.81E-03	8.27E-03
mscK	1.39E-03	1.65E-03
yceM	2.19E-03	2.66E-03
yeaK	1.30E-02	1.76E-02
ydcT	1.47E-03	2.29E-03
yqeF	1.30E-03	2.73E-03
JW58	2.94E-03	3.36E-03
hypB	1.24E-03	1.09E-03
lasT	2.92E-03	2.15E-03
garD	8.37E-04	8.07E-04
sgcX	3.28E-04	1.29E-04
alaA	7.59E-03	5.96E-03
yagE	2.31E-03	7.51E-03
proV	2.11E-03	1.91E-04
garR	1.34E-03	1.49E-03
nemA	6.50E-03	3.98E-03
cfa	5.17E-03	3.01E-03
hsdR	9.37E-04	1.61E-03
puuD	5.29E-03	9.96E-03
dgoD	6.59E-04	3.25E-04
nanK	3.28E-04	8.36E-04
fdoH	2.28E-04	1.37E-04
ybhA	1.76E-02	9.29E-03
hupA	2.10E+00	1.51E+00
rpsP	9.91E-01	5.85E-01
rplP	8.39E-01	8.91E-01
rpsT	4.63E-01	3.05E-01
ydjA	6.70E-02	6.08E-02
rpsK	2.47E-01	2.02E-01
grxC	6.45E-02	9.65E-02
rplU	1.41E-01	1.45E-01
raiA	4.56E-02	4.38E-02
rplR	1.30E-01	8.56E-02
rpsL	5.29E-02	1.64E-01
purE	1.06E-01	5.53E-02
yeeN	9.00E-02	4.70E-02
uspD	8.64E-03	6.06E-03
gntR	3.49E-02	2.58E-02
hinT	4.37E-02	4.67E-02
tsx	7.40E-02	6.54E-02
gloA	4.86E-02	4.98E-02
yibL	3.49E-02	5.79E-02
msrC	3.16E-02	4.06E-02
msrA	2.66E-02	1.55E-02
ybaK	1.47E-02	1.51E-02
ispF	4.16E-02	4.09E-02
ynhG	3.09E-02	1.65E-02
prmB	8.16E-02	5.04E-02
hfq	2.80E-02	2.41E-02
hisI	7.18E-02	2.71E-02
rcsF	1.83E-02	1.53E-02
lolA	2.67E-02	1.62E-02
grxD	1.37E-01	9.61E-02
yfbT	4.65E-02	3.70E-02
lpxA	4.54E-02	3.86E-02
tehB	8.38E-03	6.20E-03
ybhB	8.95E-03	5.45E-03
glnB	2.63E-02	2.86E-02
yceD	3.76E-02	2.33E-02
folX	2.76E-02	2.63E-02
tam	4.64E-03	7.69E-03
def	2.84E-02	7.24E-03
tldD	3.16E-02	1.69E-02
prmA	1.06E-02	6.00E-03
fhuE	2.51E-03	1.40E-03
mpl	2.92E-02	2.11E-02
moaE	1.29E-02	5.93E-03
glcG	3.38E-03	1.35E-02
ygjR	1.12E-02	1.68E-02
nlpI	1.67E-02	1.35E-02
pliG	1.20E-02	5.26E-03
bioD	1.76E-02	1.22E-02
smpB	1.00E-02	1.15E-02
proX	4.70E-02	2.53E-02
mlaA	1.60E-02	9.71E-03
tsaC	1.43E-02	1.01E-02
prkB	9.27E-03	1.56E-02
tsaE	2.55E-02	1.95E-02
mak	1.08E-02	1.08E-02
rsmG	1.59E-02	1.03E-02
ycbL	3.32E-02	1.87E-02
ytfE	2.60E-04	2.25E-04
rpoE	1.40E-02	8.09E-03
folA	8.80E-03	5.80E-03
osmF	6.40E-03	5.40E-03
yidR	8.23E-03	4.74E-03
queA	2.72E-02	1.23E-02
rbsD	4.49E-03	1.59E-02
yciE	9.71E-03	8.89E-03
ymdB	2.15E-03	3.44E-03
mtfA	2.16E-02	4.40E-02
ybhG	4.90E-03	5.16E-03
yeaH	1.67E-03	2.55E-03
fpr	8.47E-03	4.79E-03
yihX	4.92E-03	1.11E-02
zapD	1.38E-02	8.63E-03
frdB	7.41E-03	7.16E-03
ybaL	8.51E-03	1.72E-02
pcm	7.24E-03	5.82E-03
ispE	9.54E-03	7.69E-03
ycgM	4.05E-03	5.54E-03
yiiM	3.10E-03	2.40E-03
allR	9.98E-03	6.47E-03
rsmA	1.27E-02	5.22E-03
wzzE	9.15E-03	9.83E-03
nudC	7.22E-03	4.07E-03
helD	4.97E-03	7.62E-03
queC	1.30E-02	8.97E-03
ycbZ	4.21E-03	4.63E-03
ydcY	5.54E-03	3.36E-03
bioF	4.98E-03	4.96E-03
nupC	8.78E-03	1.96E-02
ravA	3.07E-03	5.52E-03
hisP	6.77E-03	5.41E-03
yggN	7.48E-03	4.52E-03
rseB	5.41E-03	3.22E-03
ibpA	9.50E-03	1.04E-02
murG	5.77E-03	5.55E-03
wecC	8.42E-03	4.40E-03
degS	4.59E-03	7.45E-03
xseA	2.98E-03	5.78E-03
yejM	2.68E-03	1.05E-02
yhjE	3.66E-02	3.45E-02
ppiC	1.84E-02	1.96E-02
macA	2.18E-03	4.54E-03
dctA	2.78E-03	1.93E-02
rsd	7.22E-03	1.10E-02
hemN	6.76E-03	4.82E-03
yrfF	5.45E-03	9.67E-03
eptC	5.86E-03	5.19E-03
yecJ	6.95E-03	5.66E-03
hemG	3.71E-03	5.02E-03
wbbK	4.40E-03	7.01E-03
queE	7.99E-03	4.91E-03
aphA	3.65E-03	5.66E-03
parE	4.59E-03	4.82E-03
yjaG	3.74E-03	3.17E-03
asmA	2.81E-03	5.40E-03
nadB	2.97E-03	2.51E-03
narP	9.82E-03	6.90E-03
puuE	3.07E-03	5.79E-03
nrdE	1.92E-03	3.29E-03
apaH	2.97E-03	1.95E-03
ung	4.82E-03	2.57E-03
yebT	1.60E-03	5.11E-03
murQ	2.02E-03	5.30E-03
emrA	3.14E-03	4.49E-03
nrdD	4.00E-03	8.48E-03
rffG	2.72E-03	9.62E-04
mukE	1.52E-02	1.37E-02
lpxB	2.18E-03	2.06E-03
bisC	4.39E-03	1.57E-03
kdsD	4.90E-03	6.08E-03
ybiU	4.39E-03	2.96E-03
yeiR	3.27E-03	1.24E-03
mhpR	5.92E-04	3.63E-03
cpxP	1.03E-02	3.09E-03
yceA	4.44E-03	1.13E-03
dmsA	2.09E-04	3.45E-04
alsB	1.03E-03	2.64E-03
pstB	5.45E-03	4.69E-03
hha	2.83E-03	6.16E-04
zntA	1.48E-03	2.78E-03
glnL	4.23E-03	1.34E-03
yqaB	5.49E-03	1.12E-03
ftsI	1.22E-03	1.69E-03
acpP	4.14E-01	3.17E-01
rpsO	5.63E-01	4.30E-01
yqjD	1.73E-01	2.07E-01
ybaY	1.49E-01	1.08E-01
yahO	6.60E-02	9.26E-02
rpmC	6.37E-01	3.77E-01
cspC	7.21E-01	6.24E-01
hupB	6.41E-01	5.99E-01
msyB	9.38E-02	1.14E-01
hdeB	1.50E-03	6.20E-03
rpmA	3.52E-01	2.41E-01
rpmG	2.95E-01	1.53E-01
rpmF	2.84E-01	1.65E-01
rpsQ	6.72E-02	2.37E-01
yjbJ	6.26E-03	4.76E-03
yagU	2.48E-02	4.98E-02
zipA	6.31E-02	5.78E-02
hpf	4.12E-02	3.53E-02
rpsN	1.93E-01	1.24E-01
mscL	3.49E-02	4.46E-02
rplT	8.00E-02	1.30E-01
nudK	8.98E-02	6.14E-02
rraA	4.49E-02	2.96E-02
glsA	3.01E-03	2.12E-03
yciI	3.72E-02	3.07E-02
ydhR	5.45E-02	5.68E-02
yccJ	3.62E-02	3.69E-02
infA	6.14E-02	3.63E-02
yoaB	3.84E-02	2.89E-02
lpoB	2.63E-02	2.19E-02
rplW	3.48E-02	2.78E-02
yjbR	9.31E-03	9.36E-03
ychN	4.25E-02	3.82E-02
artP	2.64E-02	1.82E-02
yceB	1.27E-02	1.10E-02
lptE	1.09E-02	7.46E-03
rlpA	1.81E-02	1.39E-02
cspE	2.12E-01	1.43E-01
yhbS	1.93E-02	1.81E-02
tas	1.55E-02	1.00E-02
glpF	2.26E-03	4.50E-03
trmB	2.01E-02	1.21E-02
ugpQ	8.85E-03	9.85E-03
zapA	1.70E-02	1.05E-02
tesB	1.27E-02	8.99E-03
yccX	2.01E-03	5.03E-03
nikR	1.35E-02	1.65E-02
yecC	1.72E-02	1.36E-02
erfK	3.95E-03	4.69E-03
xseB	1.36E-02	1.09E-02
yeaY	2.55E-03	1.56E-03
gph	3.35E-02	2.13E-02
yaeP	1.79E-02	2.26E-02
gloB	1.33E-02	1.16E-02
yaiA	4.26E-03	3.17E-03
csdE	5.17E-03	3.67E-03
glgB	1.06E-02	1.00E-02
tolQ	1.14E-02	1.18E-02
gmhB	1.12E-02	9.92E-03
fkpB	3.35E-02	2.72E-02
purN	1.77E-02	8.82E-03
ycdY	2.33E-02	1.16E-02
htpX	2.39E-02	2.23E-02
nanR	5.71E-03	3.65E-03
thyA	1.93E-02	1.48E-02
dsbG	5.94E-03	3.58E-03
rsmB	4.69E-03	5.19E-03
sstT	4.16E-03	2.75E-02
qorB	1.32E-02	1.09E-02
gcvR	1.12E-02	9.90E-03
fnr	2.82E-02	2.30E-02
pdxK	2.64E-03	1.20E-02
yicH	7.20E-03	7.90E-03
yeaO	4.89E-03	5.79E-03
ispH	1.29E-02	8.27E-03
tamA	3.88E-03	2.45E-03
mmuM	8.38E-03	3.79E-03
ydgJ	3.34E-03	3.51E-03
yedP	1.99E-03	2.32E-03
ybcJ	4.99E-03	4.93E-03
diaA	1.02E-02	6.92E-03
minC	7.02E-03	4.15E-03
yecM	9.88E-03	5.10E-03
yigI	3.03E-03	3.70E-03
trkA	3.55E-03	5.62E-03
prfA	1.55E-02	9.43E-03
sdaC	5.14E-03	5.53E-03
serB	1.09E-02	5.02E-03
cpxA	3.86E-03	4.08E-03
rna	2.48E-03	2.38E-03
lpxC	7.40E-03	5.57E-03
ymjA	4.70E-03	3.99E-03
ydiI	7.76E-03	4.79E-03
putP	6.95E-03	1.37E-02
ybeD	6.72E-02	5.80E-02
ytfB	7.57E-03	5.71E-03
yafJ	2.81E-03	2.74E-03
nagZ	8.16E-03	4.99E-03
aroL	2.16E-02	1.42E-02
dosC	6.53E-04	1.76E-03
nudF	5.44E-03	3.37E-03
ispD	2.87E-03	3.05E-03
pncC	2.53E-03	3.20E-03
yhbW	6.80E-03	2.72E-03
iscA	2.78E-02	2.03E-02
msbB	4.39E-03	3.95E-03
murI	3.44E-03	4.12E-03
rluB	6.17E-03	8.32E-03
pdhR	4.99E-03	2.96E-03
aroM	4.41E-03	3.66E-03
cca	4.93E-03	3.36E-03
uvrD	4.17E-03	7.18E-03
yfcL	7.46E-03	4.13E-03
eutB	2.64E-03	2.75E-03
codB	1.53E-02	2.14E-02
cspD	1.65E-02	6.14E-02
zur 	2.24E-03	4.51E-03
yeiE	6.63E-03	3.27E-03
radA	3.21E-03	3.68E-03
feaB	6.74E-04	2.88E-03
cutC	3.42E-03	2.07E-03
mlc	1.42E-03	4.67E-03
glcC	8.85E-04	2.78E-03
evgA	1.96E-03	7.78E-04
argF	9.12E-03	5.91E-03
ugpC	1.88E-03	3.43E-03
clsA	9.33E-04	3.66E-03
nfsA	9.39E-03	6.99E-03
gppA	5.49E-03	2.91E-03
ubiC	4.81E-03	4.61E-03
ydeJ	3.66E-04	4.75E-04
tsaB	4.39E-03	1.97E-03
ytfJ	1.50E-03	3.72E-03
pepE	5.69E-03	7.37E-03
mreC	3.38E-03	2.35E-03
nrdF	2.58E-03	1.51E-03
uvrY	4.87E-03	3.93E-03
glnP	1.38E-03	5.43E-03
potG	3.03E-03	4.16E-03
mutL	9.07E-04	3.10E-03
yihW	1.86E-03	2.76E-03
yecD	6.13E-04	1.88E-03
patA	2.82E-03	3.13E-03
nanE	8.84E-04	1.13E-03
paaX	6.47E-04	2.74E-03
yehS	9.84E-04	6.31E-04
narG	3.77E-05	1.18E-04
agaR	1.45E-03	1.11E-03
glpB	2.71E-04	6.19E-04
srlB	2.10E-04	1.79E-04
fucI	2.73E-04	1.14E-03
dinJ	4.04E-03	2.39E-03
ibpB	5.42E-04	6.74E-04
ubiI	1.23E-03	1.59E-03
melA	1.01E-03	2.43E-03
yciW	4.92E-03	4.19E-03
mog	1.66E-03	1.19E-03
birA	1.09E-03	9.87E-04
lrhA	1.01E-03	2.47E-03
trmH	1.03E-03	4.18E-04
modC	4.17E-04	2.17E-03
rhlE	2.04E-03	2.02E-04
xylG	8.70E-05	4.66E-05
rpsR	3.78E-01	3.08E-01
yggL	6.23E-02	5.29E-02
yjeI	1.63E-02	6.85E-02
yfcZ	3.28E-02	3.68E-02
yiiS	6.10E-03	6.39E-03
yifL	3.27E-02	2.61E-02
dut	8.47E-02	5.14E-02
secG	4.66E-02	3.33E-02
atpB	5.81E-02	1.42E-01
iraP	3.12E-02	5.65E-02
moaD	1.69E-02	7.47E-03
ygfB	3.42E-02	2.21E-02
yebY	2.86E-02	8.75E-03
hslV	1.48E-02	1.00E-02
gnsB	1.87E-02	1.75E-02
yidB	1.17E-02	1.20E-02
csrA	2.16E-02	1.15E-02
yodD	1.18E-03	1.07E-03
yebV	1.98E-02	2.11E-02
cpdA	8.73E-03	8.78E-03
ynfB	9.82E-03	8.04E-03
dcd	1.81E-02	1.58E-02
yfgD	4.98E-02	2.76E-02
yheO	2.32E-02	2.16E-02
nuoA	1.19E-02	3.27E-02
dcuA	1.51E-02	3.66E-02
fepB	4.35E-03	3.85E-03
ygaP	1.49E-02	1.33E-02
rlmE	8.37E-03	6.23E-03
cspA	2.91E-02	7.92E-03
kdsC	6.73E-03	7.02E-03
psiF	7.95E-04	8.18E-04
ycaR	2.22E-02	1.49E-02
tesA	6.58E-03	6.90E-03
yidQ	9.57E-03	4.42E-03
mlaB	1.10E-02	1.24E-02
kch	4.17E-03	2.89E-03
yfaY	9.42E-03	7.74E-03
otsB	6.68E-03	3.59E-03
yciN	1.06E-02	7.87E-03
yggT	7.45E-03	1.11E-02
sseB	2.07E-02	1.18E-02
aroE	5.91E-03	5.00E-03
yeiG	6.70E-03	1.22E-02
lptF	4.89E-03	8.34E-03
fucU	6.81E-03	1.08E-02
trmJ	1.16E-02	6.11E-03
blc	1.63E-03	2.26E-03
chbB	9.56E-03	1.45E-02
lpxD	5.09E-03	5.11E-03
frmR	6.25E-03	4.28E-03
tatC	1.02E-02	1.45E-02
cycA	1.54E-02	6.28E-02
gsk	3.67E-03	2.35E-03
gltL	3.64E-03	4.13E-03
cydB	3.00E-03	9.74E-03
slmA	5.74E-03	3.55E-03
coaE	2.68E-03	2.05E-03
trpR	3.42E-03	3.32E-03
panD	1.52E-02	7.03E-03
ldcA	5.97E-03	3.54E-03
ybhL	2.81E-03	3.31E-03
cmoB	7.66E-03	5.26E-03
eutL	3.70E-03	5.72E-03
yciT	3.76E-03	3.35E-03
lptG	5.83E-03	7.13E-03
ybiV	6.83E-03	3.73E-03
rsmE	6.10E-03	3.69E-03
trmA	6.00E-03	3.90E-03
yegH	2.13E-03	1.59E-03
yfdI	9.71E-03	1.37E-02
yhdE	7.29E-03	2.61E-03
ftsP	3.14E-03	1.70E-03
ldcC	7.69E-04	1.57E-03
mraZ	4.26E-03	3.93E-03
rfbC	8.89E-03	6.50E-03
lplA	3.92E-03	4.12E-03
rnk	1.08E-02	1.25E-02
adeP	7.10E-03	9.10E-03
livM	5.41E-03	1.05E-02
nlpE	3.18E-04	2.18E-03
prlF	1.44E-03	1.60E-03
cysG	2.46E-03	3.73E-03
lsrK	5.37E-04	1.17E-03
aroP	1.65E-02	1.90E-02
hdeD	7.13E-05	6.04E-05
yffB	2.84E-04	4.32E-04
fecA	2.22E-04	1.75E-04
gsiA	8.07E-04	1.58E-03
murD	6.33E-03	4.06E-03
pspE	2.21E-03	5.36E-03
yqjI	3.28E-03	2.66E-03
ygiB	4.94E-03	7.84E-03
yjjV	1.02E-03	3.13E-04
recR	2.77E-03	2.19E-03
rimL	2.55E-03	3.65E-03
ubiF	2.21E-03	3.04E-03
ftsX	2.15E-03	3.87E-03
rffA	5.46E-03	3.05E-03
ybiX	6.07E-04	2.65E-04
era	2.55E-03	1.94E-03
pldA	1.17E-03	8.87E-04
cobT	5.11E-03	3.82E-03
nadR	1.23E-03	1.83E-03
secE	3.44E-03	5.01E-03
dnaE	7.14E-04	1.36E-03
waaA	2.41E-03	4.56E-03
yffS	2.28E-03	1.96E-03
ubiX	2.14E-03	1.42E-03
mlaF	3.31E-03	1.98E-03
ybbP	1.57E-03	2.24E-03
plsC	1.95E-03	3.86E-03
dnaX	1.19E-03	1.37E-03
nuoH	7.98E-03	1.68E-02
yqgF	1.77E-03	1.76E-03
ade	5.22E-04	1.95E-03
rlmH	1.62E-03	6.82E-04
ynjE	1.34E-03	2.57E-03
dnaG	6.91E-04	1.74E-03
pdxY	4.42E-03	2.26E-03
dcm	1.80E-03	1.48E-03
hexR	1.31E-03	4.00E-03
ratB	2.27E-03	1.49E-03
hypE	9.40E-04	5.51E-04
ampC	1.34E-03	6.93E-04
oppB	2.53E-03	4.79E-03
hycI	3.07E-04	3.39E-04
murB	3.47E-03	1.82E-03
sad	1.41E-03	1.27E-03
fliG	3.37E-04	1.04E-03
mltA	1.64E-03	9.41E-04
yicI	1.09E-04	7.46E-05
yncD	7.54E-04	5.06E-04
adhP	1.54E-03	1.64E-03
arnB	1.04E-03	7.92E-04
ydcI	7.36E-03	1.47E-02
hsdS	1.64E-03	1.60E-03
menC	9.89E-04	3.99E-04
uxuB	1.73E-03	2.92E-03
amiA	3.97E-03	3.32E-03
dgoR	1.81E-03	3.50E-03
yojI	2.49E-04	3.01E-04
psuG	3.87E-04	3.34E-03
rlmA	6.64E-04	2.41E-04
paaY	2.62E-04	4.19E-04
sgcQ	4.99E-05	1.74E-06
ybdL	4.01E-03	3.32E-03
ydjY	5.36E-05	1.18E-04
aceK	3.48E-04	2.51E-03
rep	8.90E-04	1.55E-03
yigP	1.50E-03	2.62E-03
yedV	5.90E-04	3.49E-04
kefC	2.51E-04	1.19E-03
tauA	2.94E-04	2.78E-04
ybgK	5.88E-04	9.14E-04
nirD	2.00E-04	1.44E-04
yegD	1.77E-03	6.07E-04
yjbB	2.99E-04	9.01E-04
hybC	5.63E-04	7.03E-04
ylaC	4.39E-03	1.79E-03
yebO	7.88E-03	1.54E-03
hycA	1.91E-03	3.07E-04
narJ	4.75E-05	9.17E-05
pyrE	8.70E-04	1.81E-04
cheW	1.61E-04	1.33E-03
epmB	3.41E-03	1.11E-03
