,KM [mM],RIDS,MIDS
298,0.45401868,MANPGH,man6p_c
299,0.23765688,MANPGH,man6pglyc_c
300,0.4956719,MANPGH,glyc__R_c
301,0.06745806,NADDP,h2o_c
302,0.0012552482,NADDP,nad_c
303,0.0017625799,NADDP,amp_c
304,0.010889632,NADDP,nmn_c
305,0.09615279,NADDP,h_c
306,0.10608134,RMK,adp_c
307,0.09262619,RMK,atp_c
308,0.39633074,RMK,rml_c
309,0.41966018,RMK,rml1p_c
310,0.21610764,RMK,h_c
311,0.54603535,ASNN,asp__L_c
312,0.31640303,ASNN,h2o_c
313,0.97977716,ASNN,nh4_c
314,0.38643947,ASNN,asn__L_c
315,0.5438711,ASNN,asp__L_c
316,1.6711842,ASNN,h2o_c
317,3.2795148,ASNN,nh4_c
318,0.46868125,ASNN,asn__L_c
319,0.63603127,PAPA160,h2o_c
320,0.07125118,PAPA160,pa160_c
321,0.3156326,PAPA160,pi_c
322,0.21203727,RPE,ru5p__D_c
323,0.19734788,RPE,xu5p__D_c
324,0.71680194,FHL,h2_c
325,0.10168418,FHL,for_c
326,0.4349174,FHL,co2_c
327,0.7168278,FHL,h_c
328,0.2224605,SSALy,succ_c
329,0.6529436,SSALy,h2o_c
330,0.13360676,SSALy,nadph_c
331,0.21672893,SSALy,nadp_c
332,0.14548807,SSALy,sucsal_c
333,0.5579612,SSALy,h_c
334,0.3112097,SSALy,succ_c
335,1.3271009,SSALy,h2o_c
336,0.0776069,SSALy,nadph_c
337,0.12759493,SSALy,nadp_c
338,0.20550278,SSALy,sucsal_c
339,1.4202123,SSALy,h_c
340,0.05202738,ICHORS_copy2,ichor_c
341,0.016065728,ICHORS_copy2,chor_c
342,0.041405853,CU2abcpp,adp_c
343,0.05141346,CU2abcpp,atp_c
344,0.29169357,CU2abcpp,h2o_c
345,0.19781028,CU2abcpp,cu2_p
346,0.19781028,CU2abcpp,cu2_c
347,0.14226595,CU2abcpp,pi_c
348,0.19527107,CU2abcpp,h_c
349,0.016195633,I2FE2SS2,fadh2_c
350,0.024782937,I2FE2SS2,fad_c
351,0.9340742,I2FE2SS2,fe2_c
352,0.94595516,I2FE2SS2,h_c
353,0.63603127,PAPA180,h2o_c
354,0.07125118,PAPA180,pa180_c
355,0.3156326,PAPA180,pi_c
356,0.114113115,CELBpts,cellb_e
357,0.22998519,CELBpts,pep_c
358,0.34424442,CELBpts,pyr_c
359,0.44906643,CELBpts,cellb_e
360,0.41103584,CELBpts,pep_c
361,1.5066444,CELBpts,pyr_c
362,0.3306232,CELBpts,cellb_e
363,0.18354517,CELBpts,pep_c
364,0.784876,CELBpts,pyr_c
365,0.19407853,CELBpts,cellb_e
366,0.20194556,CELBpts,pep_c
367,0.8074833,CELBpts,pyr_c
368,0.20468988,CELBpts,cellb_e
369,0.21878618,CELBpts,pep_c
370,0.7148724,CELBpts,pyr_c
371,55.626953,XYLI2,glc__D_c
372,51.904537,XYLI2,fru_c
373,0.60443765,IG3PS,glu__L_c
374,0.043339614,IG3PS,aicar_c
375,0.7584142,IG3PS,gln__L_c
376,0.035439424,IG3PS,prlp_c
377,0.38569048,IG3PS,eig3p_c
378,3.275712,IG3PS,h_c
379,0.39055532,IG3PS,glu__L_c
380,0.05132808,IG3PS,aicar_c
381,0.24685182,IG3PS,gln__L_c
382,0.019345783,IG3PS,prlp_c
383,0.14106639,IG3PS,eig3p_c
384,0.9687617,IG3PS,h_c
385,0.029122354,ACOAD6f,fadh2_c
386,0.05128899,ACOAD6f,fad_c
387,0.034769543,ACOAD6f,tdcoa_c
388,0.033386454,ACOAD6f,td2coa_c
389,1.4720187,PLIPA2E160pp,h_p
390,0.07765062,PLIPA2E160pp,1agpe160_p
391,1.4922705,PLIPA2E160pp,h2o_p
392,0.07685082,PLIPA2E160pp,hdca_p
393,0.08161948,PLIPA2E160pp,pe160_p
394,2.5802386,URACPAH,h2o_c
395,0.41300154,URACPAH,uracp_c
396,1.714596,URACPAH,cbm_c
397,3.762678,URACPAH,h_c
398,0.5909068,URACPAH,poaac_c
399,0.374972,SERASr,atp_c
400,8.159186,SERASr,ser__L_c
401,0.42288676,SERASr,seramp_c
402,2.0646896,SERASr,ppi_c
403,3.4205425,SERASr,h_c
404,0.19226153,LPLIPAL1A120pp,h_p
405,0.15861045,LPLIPAL1A120pp,h2o_p
406,0.24858019,LPLIPAL1A120pp,glyc3p_p
407,0.038627464,LPLIPAL1A120pp,1ddecg3p_p
408,1.6451524,GGGABADr,h2o_c
409,0.081650965,GGGABADr,nadph_c
410,0.21359202,GGGABADr,ggbutal_c
411,0.16006812,GGGABADr,nadp_c
412,0.24426068,GGGABADr,gg4abut_c
413,1.8344111,GGGABADr,h_c
414,1.2334889,OPMEACPD,h2o_c
415,0.036037546,PSD180,pe180_c
416,1.4346455,PSD180,co2_c
417,1.3091363,PSD180,h_c
418,0.39551225,SUCptspp,suc6p_c
419,0.22998519,SUCptspp,pep_c
420,0.34424442,SUCptspp,pyr_c
421,0.33953276,SUCptspp,sucr_p
422,0.6224506,SUCptspp,suc6p_c
423,0.28161547,SUCptspp,pep_c
424,0.8989802,SUCptspp,pyr_c
425,5.643879,SUCptspp,sucr_p
426,0.41308382,SUCptspp,suc6p_c
427,0.41103584,SUCptspp,pep_c
428,1.5066444,SUCptspp,pyr_c
429,2.1538756,SUCptspp,sucr_p
430,0.4687953,SUCptspp,suc6p_c
431,0.25156155,SUCptspp,pep_c
432,0.6509823,SUCptspp,pyr_c
433,2.5268133,SUCptspp,sucr_p
434,0.12508093,GSPMDS,adp_c
435,0.09658669,GSPMDS,atp_c
436,0.40443826,GSPMDS,gthrd_c
437,0.22048132,GSPMDS,gtspmd_c
438,0.45218703,GSPMDS,spmd_c
439,0.839919,GSPMDS,pi_c
440,2.509915,GSPMDS,h_c
441,0.07207154,2AGPEAT140,atp_c
442,0.013153225,2AGPEAT140,2agpe140_c
443,0.088175565,2AGPEAT140,amp_c
444,0.12525271,2AGPEAT140,ppi_c
445,0.07490989,DHCIND,cenchddd_c
446,0.056461263,DHCIND,nad_c
447,0.031922963,DHCIND,dhcinnm_c
448,1.9143361,DHCIND,h_c
449,0.047626253,DHCIND,nadh_c
450,0.046529375,OMPDC,orot5p_c
451,0.5136111,OMPDC,co2_c
452,0.06378401,OMPDC,ump_c
453,1.2412224,OMPDC,h_c
454,0.16484438,DAGK180,adp_c
455,0.17512988,DAGK180,atp_c
456,0.097515225,DAGK180,pa180_c
457,1.3713927,DAGK180,h_c
458,0.016861225,DHNCOAT,coa_c
459,1.8527513,DHNCOAT,h2o_c
460,2.074381,DHNCOAT,h_c
461,0.0124830445,DHNCOAT,dhna_c
462,0.02787972,EAR80y,nadph_c
463,0.03933085,EAR80y,nadp_c
464,2.8962915,EAR80y,h_c
465,1.4720187,PLIPA1E141pp,h_p
466,1.4922705,PLIPA1E141pp,h2o_p
467,1.4922705,PLIPA1A161pp,h2o_p
468,0.395858,3HAD120,h2o_c
469,1.2334889,3HAD120,h2o_c
470,0.05769274,EAR181x,nad_c
471,2.8962915,EAR181x,h_c
472,0.053822614,EAR181x,nadh_c
473,6.656439,FUM,h2o_c
474,0.73248017,FUM,mal__L_c
475,0.6801011,FUM,fum_c
476,0.035622492,PPCSCT,ppcoa_c
477,0.427012,PPCSCT,succ_c
478,0.022977334,PPCSCT,succoa_c
479,0.395858,3HAD180,h2o_c
480,1.2334889,3HAD180,h2o_c
481,0.020502409,PDH,coa_c
482,0.07215679,PDH,nad_c
483,0.023970155,PDH,accoa_c
484,0.55578756,PDH,co2_c
485,0.37386262,PDH,pyr_c
486,0.02634238,PDH,nadh_c
487,0.019452283,PDH,coa_c
488,0.044249497,PDH,nad_c
489,0.02741775,PDH,accoa_c
490,0.2801836,PDH,co2_c
491,0.18153106,PDH,pyr_c
492,0.04234318,PDH,nadh_c
493,0.13620688,PUNP5,ins_c
494,0.33728197,PUNP5,r1p_c
495,0.2795807,PUNP5,pi_c
496,0.08770929,PUNP5,hxan_c
497,0.05769274,EAR121x,nad_c
498,2.8962915,EAR121x,h_c
499,0.053822614,EAR121x,nadh_c
500,0.046727452,CS,coa_c
501,0.9651673,CS,h2o_c
502,0.059748452,CS,accoa_c
503,0.18460497,CS,cit_c
504,0.14339669,CS,oaa_c
505,0.9272517,CS,h_c
506,0.04582225,ALR2,nadph_c
507,1.8965724,ALR2,acetol_c
508,0.12785129,ALR2,nadp_c
509,3.3365412,ALR2,h_c
510,0.72614247,ALR2,mthgxl_c
511,0.029861933,ALR2,nadph_c
512,2.649762,ALR2,acetol_c
513,0.059202682,ALR2,nadp_c
514,3.0870957,ALR2,h_c
515,1.349359,ALR2,mthgxl_c
516,0.029122354,ACOAD3f,fadh2_c
517,0.04211177,ACOAD3f,oc2coa_c
518,0.044844735,ACOAD3f,occoa_c
519,0.05128899,ACOAD3f,fad_c
520,0.1901981,APCS,15dap_c
521,0.014360666,APCS,5mta_c
522,0.12415064,APCS,na15dap_c
523,0.5204344,APCS,h_c
524,0.016187109,APCS,ametam_c
525,0.013818066,FACOAE180,coa_c
526,1.0371579,FACOAE180,h2o_c
527,0.013090647,FACOAE180,ocdca_c
528,0.005874033,FACOAE180,stcoa_c
529,1.0262764,FACOAE180,h_c
530,0.16484438,DAGK160,adp_c
531,0.17512988,DAGK160,atp_c
532,0.097515225,DAGK160,pa160_c
533,1.3713927,DAGK160,h_c
534,1.3549776,CHOLD,betald_c
535,0.12044095,CHOLD,nad_c
536,0.95205265,CHOLD,chol_c
537,0.65324575,CHOLD,h_c
538,0.05496527,CHOLD,nadh_c
539,0.395858,3HAD60,h2o_c
540,1.2334889,3HAD60,h2o_c
541,0.03939807,OGMEACPS,coa_c
542,0.43436536,OGMEACPS,co2_c
543,0.05156797,OGMEACPS,malcoame_c
544,1.3842348,OGMEACPS,h_c
545,1.0737045,PPCDC,co2_c
546,0.11476549,PPCDC,4ppcys_c
547,1.9190615,PPCDC,h_c
548,0.046731185,PPCDC,pan4p_c
549,0.018935021,ATHRDHr,nadph_c
550,0.26448494,ATHRDHr,2aobut_c
551,0.026579633,ATHRDHr,nadp_c
552,2.220971,ATHRDHr,h_c
553,0.8656752,ATHRDHr,athr__L_c
554,0.030535638,3OAR181,nadph_c
555,0.043614704,3OAR181,nadp_c
556,1.9801781,3OAR181,h_c
557,0.020531813,DHMPTR,nadph_c
558,0.033168346,DHMPTR,thmnp_c
559,0.03233723,DHMPTR,nadp_c
560,2.7624304,DHMPTR,h_c
561,0.013138889,DHORD5,mql8_c
562,0.016091539,DHORD5,mqn8_c
563,0.24552907,DHORD5,dhor__S_c
564,0.2134048,DHORD5,orot_c
565,0.11745403,GLCptspp,pep_c
566,3.191891,GLCptspp,glc__D_p
567,0.46788332,GLCptspp,g6p_c
568,0.43245682,GLCptspp,pyr_c
569,0.20938703,GLCptspp,pep_c
570,3.2541327,GLCptspp,glc__D_p
571,0.44252324,GLCptspp,g6p_c
572,0.57053816,GLCptspp,pyr_c
573,0.22998519,GLCptspp,pep_c
574,0.4001073,GLCptspp,glc__D_p
575,0.39320877,GLCptspp,g6p_c
576,0.34424442,GLCptspp,pyr_c
577,0.28161547,GLCptspp,pep_c
578,4.8952727,GLCptspp,glc__D_p
579,0.55616474,GLCptspp,g6p_c
580,0.8989802,GLCptspp,pyr_c
581,0.41103584,GLCptspp,pep_c
582,3.6618943,GLCptspp,glc__D_p
583,0.5932908,GLCptspp,g6p_c
584,1.5066444,GLCptspp,pyr_c
585,0.15658863,GLCptspp,pep_c
586,2.4634898,GLCptspp,glc__D_p
587,0.511122,GLCptspp,g6p_c
588,0.72086227,GLCptspp,pyr_c
589,0.22351965,GALKr,adp_c
590,0.15991418,GALKr,atp_c
591,0.6089898,GALKr,gal1p_c
592,3.8218496,GALKr,gal_c
593,2.3760176,GALKr,h_c
594,0.10927845,ADCS,glu__L_c
595,0.08304112,ADCS,gln__L_c
596,0.013800724,ADCS,chor_c
597,0.0069581955,ADCS,4adcho_c
598,0.54781073,ADCS,glu__L_c
599,0.36413556,ADCS,gln__L_c
600,0.02991778,ADCS,chor_c
601,0.024600659,ADCS,4adcho_c
602,0.17648597,PPK,adp_c
603,0.1337264,PPK,atp_c
604,0.88028634,PPK,ppi_c
605,1.2994554,PPK,pi_c
606,0.533907,AGM4PCPpp,h2o_p
607,0.9715066,AGM4PCPpp,ala__D_p
608,0.63603127,PGPP140,h2o_c
609,0.054840155,PGPP140,pg140_c
610,0.3156326,PGPP140,pi_c
611,0.06136306,PYDXPP,pydx_c
612,0.053683963,PYDXPP,pydx5p_c
613,1.7803493,PYDXPP,h2o_c
614,0.6227352,PYDXPP,pi_c
615,0.04640545,PYDXPP,pydx_c
616,0.054477423,PYDXPP,pydx5p_c
617,1.0804038,PYDXPP,h2o_c
618,0.50091696,PYDXPP,pi_c
619,0.054008152,PYDXPP,pydx_c
620,0.06017802,PYDXPP,pydx5p_c
621,0.80840945,PYDXPP,h2o_c
622,0.55767035,PYDXPP,pi_c
623,0.029627373,PYDXPP,pydx_c
624,0.027433256,PYDXPP,pydx5p_c
625,0.96465683,PYDXPP,h2o_c
626,0.45434228,PYDXPP,pi_c
627,0.041147575,MALTATr,coa_c
628,1.3363068,MALTATr,malt_c
629,0.0617603,MALTATr,accoa_c
630,0.15270507,MALTATr,acmalt_c
631,0.017428836,MPTG2,uaagmda_c
632,0.026065342,MPTG2,udcpdp_c
633,0.317093,MPTG2,h_c
634,0.060903747,MPTG2,uaagmda_c
635,0.06661866,MPTG2,udcpdp_c
636,1.612394,MPTG2,h_c
637,0.05247882,MPTG2,uaagmda_c
638,0.07752874,MPTG2,udcpdp_c
639,0.6026611,MPTG2,h_c
640,0.53054374,EDA,g3p_c
641,0.28049487,EDA,2ddg6p_c
642,1.0271637,EDA,pyr_c
643,0.75425076,UDPGD,h2o_c
644,0.082687676,UDPGD,nad_c
645,0.4081442,UDPGD,udpglcur_c
646,0.17311546,UDPGD,udpg_c
647,0.7059563,UDPGD,h_c
648,0.08127874,UDPGD,nadh_c
649,0.060576383,ME1,nad_c
650,0.6929826,ME1,mal__L_c
651,2.1940427,ME1,co2_c
652,1.5878837,ME1,pyr_c
653,0.035188317,ME1,nadh_c
654,0.19226153,LPLIPAL1G160pp,h_p
655,0.13963133,LPLIPAL1G160pp,g3pg_p
656,0.023038972,LPLIPAL1G160pp,1agpg160_p
657,0.15861045,LPLIPAL1G160pp,h2o_p
658,0.046914227,LPLIPAL1G160pp,hdca_p
659,0.19076876,LIPOCT,h_c
660,0.02787972,EAR160y,nadph_c
661,0.03933085,EAR160y,nadp_c
662,2.8962915,EAR160y,h_c
663,0.82968515,RNDR3b,h2o_c
664,0.06702416,RNDR3b,dcdp_c
665,0.38076755,RNDR3b,cdp_c
666,0.9346292,RNDR3b,h2o_c
667,0.09015779,RNDR3b,dcdp_c
668,0.23900221,RNDR3b,cdp_c
669,0.63603127,PAPA161,h2o_c
670,0.3156326,PAPA161,pi_c
671,0.2658061,F1PP,h2o_c
672,0.45656025,F1PP,fru_c
673,0.15756615,F1PP,f1p_c
674,0.24191956,F1PP,pi_c
675,1.793925,F1PP,h2o_c
676,4.483005,F1PP,fru_c
677,1.006761,F1PP,f1p_c
678,0.90636086,F1PP,pi_c
